0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0
0.2	0	0	0	0	0.6	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0.7	0	0	0	0.58
0	0	0	0	0	0.37	0	0	0	0	0	0	0.69	0	0	0	0	0.3	0	0
0	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0.77	0	0	0.6	0	0
0	0.6	0	0.37	0.39	0	0	0	0.81	0	0	0.15	0	0	0	0	0	0	0	0
0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0.54	0
0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0.5	0	0	0	0
0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45
0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0.35	0.52	0	0	0
0	0	0	0	0	0.15	0	0	0	0	0	0	0.1	0	0	0	0	0	0.48	0
0	0	0	0.69	0	0	0	0	0	0	0	0.1	0	0	0	0	0.98	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0
0	0	0	0	0.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82	0
0	0	0.7	0	0	0	0.22	0.5	0	0	0.35	0	0	0	0	0	0	0	0.33	0
0	0	0	0	0	0	0	0	0	0	0.52	0	0.98	0	0	0	0	0	0	0
0.46	0	0	0.3	0.6	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0
0	0	0	0	0	0	0.54	0	0	0	0	0.48	0	0	0.82	0.33	0	0	0	0
0	0	0.58	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0
